Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1_0,Agreeableness,8,438,0.972,0.88,0.712,0.597,0.546,0.137,2627.976,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1_0,Conscientiousness,8,438,0.983,0.989,0.895,0.853,0.313,0.017,877.568,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1_0,Extraversion,8,438,0.995,0.994,0.886,0.84,0.403,0.012,1440.118,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1_0,Neuroticism,8,438,0.983,0.986,0.883,0.836,0.348,0.035,1083.635,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1_0,Openness,8,438,0.978,0.973,0.831,0.764,0.367,0.051,1200.186,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1_0,Agreeableness,8,438,0.979,0.975,0.941,0.917,0.203,0.032,381.246,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1_0,Conscientiousness,8,438,0.989,0.991,0.985,0.979,0.124,0.006,154.416,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1_0,Extraversion,8,438,0.995,0.996,0.982,0.975,0.148,0.004,211.499,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1_0,Neuroticism,8,438,0.966,0.947,0.832,0.764,0.378,0.13,1273.363,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1_0,Openness,8,438,0.972,0.973,0.939,0.915,0.192,0.03,344.241,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1_0,Agreeableness,8,438,0.978,0.952,0.829,0.76,0.348,0.063,1082.119,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1_0,Conscientiousness,8,438,0.986,0.985,0.951,0.931,0.222,0.016,453.512,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1_0,Extraversion,8,438,0.995,0.992,0.942,0.918,0.271,0.011,664.82,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1_0,Neuroticism,8,438,0.996,0.996,0.945,0.923,0.27,0.007,656.713,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_gpt_4o_temp1_0,Openness,8,438,0.985,0.982,0.895,0.854,0.289,0.026,752.056,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_llama_temp1_0,Agreeableness,8,438,0.965,0.9,0.532,0.345,0.675,0.134,4006.487,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_llama_temp1_0,Conscientiousness,8,438,0.98,0.974,0.855,0.797,0.395,0.033,1388.325,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_llama_temp1_0,Extraversion,8,438,0.996,0.998,0.947,0.926,0.284,0.004,728.752,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_llama_temp1_0,Neuroticism,8,438,0.953,0.98,0.756,0.659,0.453,0.116,1818.505,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_llama_temp1_0,Openness,8,438,0.958,0.97,0.739,0.635,0.424,0.094,1596.251,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Agreeableness,8,438,0.854,0.755,0.789,0.705,0.251,0.19,572.829,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Conscientiousness,8,438,0.919,0.892,0.666,0.533,0.375,0.165,1252.589,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Extraversion,8,438,0.983,0.984,0.929,0.901,0.249,0.026,562.791,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Neuroticism,8,438,0.82,0.265,0.38,0.132,0.41,0.29,1494.825,20,0
STUDY_2,binary_elaborated,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Openness,8,438,0.909,0.915,0.852,0.793,0.22,0.108,443.675,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_deepseek_temp1_0,Agreeableness,8,438,0.976,0.898,0.697,0.576,0.566,0.118,2822.896,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_deepseek_temp1_0,Conscientiousness,8,438,0.983,0.987,0.849,0.789,0.391,0.025,1356.576,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_deepseek_temp1_0,Extraversion,8,438,0.996,0.996,0.878,0.829,0.429,0.007,1630.11,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_deepseek_temp1_0,Neuroticism,8,438,0.982,0.989,0.857,0.8,0.395,0.033,1384.598,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_deepseek_temp1_0,Openness,8,438,0.975,0.962,0.771,0.68,0.445,0.068,1754.923,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1_0,Agreeableness,8,438,0.98,0.975,0.949,0.929,0.189,0.027,333.683,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1_0,Conscientiousness,8,438,0.988,0.992,0.98,0.972,0.144,0.007,202.22,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1_0,Extraversion,8,438,0.995,0.996,0.971,0.959,0.186,0.005,323.246,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1_0,Neuroticism,8,438,0.961,0.947,0.831,0.764,0.375,0.145,1253.61,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4_temp1_0,Openness,8,438,0.972,0.974,0.933,0.907,0.199,0.028,365.43,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Agreeableness,8,438,0.977,0.963,0.84,0.775,0.33,0.056,975.38,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Conscientiousness,8,438,0.988,0.988,0.962,0.946,0.196,0.015,357.768,20,0
